Id,Text
918877133912576000,just got off of work my wkend has officially started ...
918877455875584000,I feel attacked https://t.co/nHSAwhc0PP
918877529963888641,@WaPoSean @washingtonpost Cruz has to make this prediction so  if it happens  his right-ness can propel him to the GOP nom in 2020
918877479388921857,We're #hiring! Read about our latest #job opening here: Registered Nurses - https://t.co/46JhhGXUei #Nursing #Albany  OR #CareerArc
918877497088917504,@realDonaldTrump @USNavy No greater honor that you are shitting all over   DAILY.  #FuckOff #PopularVoteLoser #whinylittlebitch
918877461974196225,Netflix really outdid themselves with this one https://t.co/78GyjPNWnr
918877406521430016,Much appreciated  thank you! https://t.co/rOzMhCpM5B
918877554131419137,@thebradfordfile One thing the fool needs "To make out"  Is how to spell..
918877471369506817,@kvaganos Surprised they're not speeding tickets tbh!
918877522586042370,Much awaited whole row selection :) now waiting for file dialog css :) https://t.co/sasiKYX3Yl
918601605339066369,Almost no one has been thanked at the Oscars more than Harvey Weinstein. (We did the math.) https://t.co/Pe5VIoxfQ9
918816446955900930,I swear to god I’m always late.
918877533130690560,Mr President  I can be your social media person. We will #tweet for you and all would potentially be better.  @POTUS
918877432894988288,That gif though https://t.co/PZZnH7TSWj
918877440927186944,If you're looking for work in #Warwick  RI  check out this #job: https://t.co/iH1hJ3Tnh4 #parttime #Cashier #Veterans #Hiring #CareerArc
918877531897507840,We're #hiring! Click to apply: Corporate Real Estate Representative - https://t.co/iFmCVeRXdd #Chantilly  VA #Job #Jobs
918877485546192897,Oh #lucky day! #FridayThe13th https://t.co/wzFNkfUC7q
918877419389386754,Interested in a #job in #LenoirCity  TN? This could be a great fit: https://t.co/VHJXHfLNkF #Labor #Hiring #CareerArc
918877430147964930,@AmandaCCoyne @MikeIsaac owned.
918877454827245568,@FBI  WTH? Another cover up. https://t.co/EnkUlkBSqT
918877562713071616,@taylorheckman7 you're in class you shouldn't be on your phone
918877443045371904,The toy of @IAmJericho....it’s a action figure mannnnnn!!!!! https://t.co/RqJia1YmMK
918877508963094529,@trevacka21 @NayJicholson So good the reds couldn't give him away apparently
918877479313448960,We're #hiring! Read about our latest #job opening here: Store Team Member - https://t.co/DWAwcgac2b #Labor #NewOrleans  LA
918849460859531267,Trump: “I met with the president of the Virgin Islands.”   Uh. Trump is the president of the Virgin Islands. https://t.co/8w4sa2iR2I
918877540864835586,@jesus_really_ @JaxxxAlexander ♡♡ NOW I LOVE THIS PICTURE   A KIND HANDSOME PERSON ♡♡
918834402397999105,It's sad how quick people are to be like "fake woke" lmao no ones "fake woke" we're all learning and growing and unlearning indoctrined shit
918877486179549187,Fuck you hoes always do this https://t.co/PiiWgIZpsL
918877466541940736,Happy #FridayThe13th! 👻 #Friday #Insurance #Fall #brokers #October #office https://t.co/xJQu0RKZhd
918877426901401600,Stay strong! #lovelight #Lucifer #Love #Namaste! https://t.co/llq0oDCxhv
918877525060870144,@fulvia14130533 Awesome picture! ❤️❤️
918845424672428033,Ghosts? ¯\_(ツ)_/¯ #InternationalSkepticsDay #FridayThe13th 📷canadapostagram/IG https://t.co/IsUzF29iVx
918875556170448896,@Matchu_chutrain That's not right. Which location is this?
918877474078973954,Stay classy  @Panthers https://t.co/8CAzQ8tegM
918877533226942464,@dylan_random Spongebob will be disappointed 😜
918877436372307968,@LosAngelesOW Overwatch Hollywood??
918877501828370432,I was just thinking this 😂 https://t.co/XLvlesLtUn
918877413727199234,I was supposed leave for Texas this morning  but I’m hungover from last night  so that’s a definite no-go.  In other news: #FlyEaglesFly
